#TYPE System.Management.Automation.PSCustomObject
"Name","PathName","Hash","DateAdded","Description"
"System.Web.Mobile.dll","C:\Windows\Microsoft.Net\assembly\GAC_MSIL\System.Web.Mobile\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.Web.Mobile.dll","000176F11EBCF4C256090EE8BDBFADB9","9/27/2013","Not really malicious? just a holder"
"DEVXEXEC.EXE","","1DA364DAFCA7525D67D74ECB63198951","8/16/2013",""
"PSEXESVC","C:\Windows\PSEXESVC.EXE","26D3E11C8898A56CA9C58A9085079D05","8/26/2013","PSExec"
"DWRCS.EXE","C:\Windows\SysWOW64\DWRCS.EXE","2ACF358B3F2050DF3E6772C8CAA20493","10/24/2013",""
"MX.EXE","","311E571CB08B4A5A7D3CDE6334B21BBA","8/16/2013","MIMIKATZ"
"7ZA.EXE","","42BADC1D2F03A8B1E4875740D3D49336","8/16/2013","7-ZIP"
"MIMIKATZ.EXE","","44656A6F235EF41D3FA9D1B03B7C085CE38FO","8/16/2013","MIMIKATZ"
"JASUS.EXE","","53841511791E4CAC6F0768A9EB5DEF8A","8/16/2013","ARP POISON"
"PW.EXE","","6FC9C96B03065D631A7FD6244DEA6ACC","8/16/2013","PWDUMP V7.1"
"NCAT.EXE","","7EODF5EFD2ADFC7FEEFEBE42C3A18D02","8/16/2013","NetCAT"
"WebDev.WebServer40.EXE","C:\Program Files (x86)\Common Files\Microsoft Shared\DevServer\11.0\WebDev.WebServer40.exe","820C410F068F7970846E0CDFA9A72BCD","9/27/2013","MALWARE: <Suspicious.Cloud.2> symantec_beta(symrapidreleasedefsv5i32.exe 2013-04-03T11:00:00)"
"WINPCAP_3.1-SILENT.EXE","","8531A4164254076B92694AE16541CF5F","8/16/2013",""
"AMuxL.dll","C:\Program Files\FTR\ForTheRecord\AMuxL.dll","93FE1AAC1BC34CDDC90C6A21969693C4","9/27/2013","MALWARE: <PUA.Win32.Packer.ThemidaWinlicen-6> clamav(daily.cvd 2013-05-18T17:35:00): <Win32/Packed.Themida (application) (variant)> esetnod32(minnt3.exe 2013-05-18T17:55:00): <TROJ_GEN.US027T> trendmicro_consumer(hcoth992595.zip 2013-05-18T13:10:00)"
"RUNAS.EXE","","96A4297EE4BA4370C2A99931E74F2F54","8/16/2013","RUNAS COMMAND"
"SL.EXE","","98867E924508AAFCFBEOB2AC17394488","8/16/2013","SCANLINE (TM)"
"PSEXESVC","C:\Windows\PSEXESVC.EXE","A283E768FA12EF33087F07B01F82D6DD","8/26/2013","PSExec"
"PSLIST.EXE","","AD06AA36E330434560593590330222E6","8/16/2013","PSLIST Vl.3"
"CHURRASCO.EXE","","AEB11327EOOEOD5C9CD1D1B022945215","8/16/2013",""
"PS.EXE","","AEEE996FD3484F28E5CD85FE26B6BDCD","8/16/2013","PSEXEC Vl.98"
"PSKILL.EXE","","B5891462C9CA5BDDFE63D3BAE3C14EOB","8/16/2013","PSKILL"
"PRIVESC.EXE","","DABF638EB53070CDC7B10BFA5E4E8142","8/16/2013","WIN32K.SYS"
"WT.EXE","","DBE287EB8D58E6322E9FB67110ED7122","8/16/2013","GNU WGET "
"U.EXE","","DDA3E5629AOE8FB63A3E19027AE45458","8/16/2013","EXPLOIT"
"C.EXE","","E5F9CF7761FBB13551FODEE17893C551","8/16/2013",""
"LIBEAY32.DLL","","ECF9E668ECEC285F202A1FOOD552594A","8/16/2013",""
"WCET86.EXE","","F5295861ADB8A51A87E817069612D7DB","8/16/2013","WCE"
"XTT.EXE","","FA25FCAFD7819FA349AA83E363D4DE4E","8/16/2013","XCMD"
"WN4.EXE","","FBC146B03DE722AOF8DFA7CEFEF94AB4","8/16/2013","WINPCAP(NMAP)"
