Pipe,
lsass,DateAdded
protected_storage,7/25/2013
ntsvcs,7/25/2013
scerpc,7/25/2013
plugplay,7/25/2013
Winsock2\CatalogChangeListener-2dc-0,7/25/2013
epmapper,7/25/2013
Winsock2\CatalogChangeListener-194-0,7/25/2013
LSM_API_service,7/25/2013
eventlog,7/25/2013
Winsock2\CatalogChangeListener-328-0,7/25/2013
atsvc,7/25/2013
Winsock2\CatalogChangeListener-388-0,7/25/2013
wkssvc,7/25/2013
keysvc,7/25/2013
winreg,7/25/2013
nai_vseconsole01,7/25/2013
ma_named_pipe147469655,7/25/2013
tapsrv,7/25/2013
trkwks,7/25/2013
dvnamedpipe,7/25/2013
srvsvc,7/25/2013
stacsv,7/25/2013
ROUTER,7/25/2013
Winsock2\CatalogChangeListener-204-0,7/25/2013
W32TIME_ALT,7/25/2013
Winsock2\CatalogChangeListener-20c-0,7/25/2013
TermSrv_API_service,7/25/2013
Winsock2\CatalogChangeListener-9f0-0,7/25/2013
PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER,7/25/2013
MsFteWds,7/25/2013
dvtraypipe2440,7/25/2013
